Nom_ de_ Site_F,Nom_ de _Site_A,Localisation _F ,Localisation_A,Période_ historique_F,Période_ historique_ A,Longitude ,Latitude
Pupput site archéologique sauvegardé,بوبوت موقع اثري محمي ,"A la périférie Sud de la Ville de Hammamet au lieu dit ""Souk El Abiod"".",جنوب مدينة الحمامات (سوق الابيض),Romaine et romaine-tardive V e s ap. J-C.,الفترة الرومانية  والرومانية المتأخرة القرن V بعد م.,10.562700,36.392605
Fort de Hammamet ,برج الحمامات، معلم تاريخي وسيط,Erigé su la côte,مقام على ساحل البحر ,"Période Aghlabide, fin IXe début Xe s hijri (893-904 ap. J-C). ",بني المعلم في الفترة الاغلبية في نهاية القرن 9 و بداية القرن 10 هجري (893 -904 م),10.612867,36.395099
Neapolis: Parc Archéologique,نيابوليس -منتزه اثري ,Siège du Gouvernorat de Nabeul sur la côte Sud-Est du Cap Bon,يوجد الموقع على ساحل البحربالجنوب الشرقي للوطن القبلي بمدينة نابل مقر الولاية ,"Période punique,romaine, byzantine, vandale,  III e - V e s ap. J-C.",الحقبة البونية الرومانية الوندالية و البيزنطية القرن الثالث و الخامس بعد الميلاد ,10.564377,36.397136
Clipea-kelibia ,كلوبيا -قليبية -اقليبية ,"Localisée au Nord-Est du Cap Bon, protégée contre les invasions maritimes par le Fort en forme de Bouclier.",توجد على الواجهة الشمالية الشرقية للوطن القبلي و محصنة بقلعة بيزنطية داخل البرج.,"Période punique, romaine, byzantine, islamique, turque et coloniale.",توافد على المدينة البونيون، الرومان، البيزنطيون، المسلمون، الاتراك العثمانيين لترزح تحت الاستعمار الفرنسي.,11.103873,36.844246
Fort de kelibia ,برج قليبية ,"Erigé sur la côte à l'extrème Nord-Est du Cap Bon, fortifié naturellement et perché",تم بناء القلعة على اعلى هضبة صخرية تبلغ 150 م على الواجهة الشمالية الشرقية على ساحل البحر و هي محمية طبيعيا,"Période punique, romaine, byzantine, islamique, turque et coloniale.",فترة بونية، رومانية، بيزنطية، اسلامية، عثمانية، استعمارية,11.116034,36.83788
Nécropole punique Sidi salem,المقبرة البونية سيدي سالم ,Affleurement rocheux surplanbant la plage à la sortie nord de la ville de Menzel Tamime.,نحتت المقبرة على مرتفع صخري ملاصق للبحر على الضفة الشمالية لمدينة منزل تميم.,Période punique vers le III e s av.J-C.,الفترة البونية خلال القرن الثالث قبل الميلاد.,11.000468,36.776022
Mausolée Sidi salem Hamem,مقام الولي الصالح سيدي سالم : الحمام حيث تقام خرجة سيدي سالم.,Approximité du site  du Nécropole punique de Menzel Tamime.,بالقرب من المقبرة البونية بمنزل تميم ,Période médiévale ,الفترة الوسطية ,11.000476,36.77035
Menzel Tamime : Ta. Fekhsit,منزل تميم -تافخسيت ,Á 13 km de la ville actuelle de Kélibia,على بعد 13كم من مدينة قليبية ,"Protohistorique, période punique, I er s av. J-C., période Ziride avec Tamime Ibn el Moez. ",فترة ما قبل التاريخ، الفترة البونية القرن الاول قبل الميلاد، الفترة الزيرية مع تميم ابن المعز، الفترة المعصرة.,10.999392,36.760027
"Vestiges archéologiques du Forum de Kélibia, place publique romaine et maison classique d'un noble",بقايا الساحة العمومية بقليبة  منزل لاحد النبلاء ,"Dar Falo, école de pêche de kélibia",دار فالو، المدرسة البحرية بقليبية.,Période romaine I e - II e s ap. J-C.,الفترة الرومانية القرن الاول و الثاني ميلادي.,11.113027,36.835618
Haouanet el Harouri (Nécropole lybique),مقابر الحاروري لوبية محلية للسكان الاصليين.,Á 10 km à l'Ouest de la ville de Kélibia érigée sur un affleurement rocheux à Oued el Khatf.,على بعد 10 كم غرب مدينة قليبية بمنطقة وادي الخطف منقرة في هضبة صخرية.,"Lybique protohistorique, avant l'arrivée des phéniciens.",مقبرة لوبية للسكان الاصليين قبل الحضور الفينيقي بالوطن القبلي.,11.0383,36.86258
Hammam El Ghezaz (ÖGUZ),حمام الأغزاز مدينة تركية ,Á 2 Km de la ville de Kélibia et 20 km d' El Hawaria.,توجد مدينة حمام الأغزاز على بعد 2 كم من مدينة قليبية و 20 كم على مدينة الهوارية.,La fin de la période Hafside et l'arrivée des Halmoadeset le début des invasions Turques  vers 1235 ap. J-C.,حقبة بين الفترة الوسطية و الحديثة نهاية الفترة الحفصية وبداية الفترة تركية ,11.108123,36.875237
Site archéologique Demna  Oued el Ksab: ,الموقع الاثري دمنة وادي القصب,"Á 3 km de la ville de Hammam Ghezaz au Nord- Est sur la côte, direction Kerkouan.",على بعد 3 كم من مدينة حمام الاغزاز في اتجاه الشمال على طريق كركوان.,"Période romaine, byzantine du IV e au VII e s ap.J-C.",الفترة الرومانية، البيزنطية بين القرن رابع و القرن السابع بعد الميلاد.,11.105781,36.912643
Site archéologique  Kerkouane,موقع كركوان الاثري ,Localisée au front est du Cap Bon délégation Hammam Ghezaz municipalité Dar Allouche entre Kélibia et El Hawaria.,يحتل مقدمة جزيرة الراس الطيب  (الوطن القبلي) بين مدينتي قليبية و الهوارية معتمدية حمام الاغزاز، بلدية دار علوش.,Période punique IV e - III e s ap.J.-C.,الفترة البونية من القرن السادس الى القرن الثالث قبل الميلاد,11.099824,36.947125
Site Aradi-jedidi ,سيدي الجديدي ,Site majeur du Cap Bon,يوجد الموقع بالوطن القبلي بين قصر سودان و الحمامات ,Période romaine chrétienne,الفترة الرومانية المسيحية ,10.382273,36.395646
"Aquae Caldae Carpitanae (Korbous, station thermale)",قربص عيون المياه الساخنة المحطة الاستشفائية حمام قربص ,"Située sur la côte Nord- Ouest du Cap Bon en face du Carthage, délégation de Soliman",توجد على الضفة الشمالية الغربية للوطن القبلي من معتمدية سليمان ,"Période Punique, romaine, médiévale, turque et coloniale.","الفترة البونية ,الرومانية ,الاسلامية التركية و الاستعمارية ",10.567367,36.816859
"Ville d'El Hawaria s'accroche au flanc d'un éperon incliné ""Ras Drak"".","مدينة الهوارية ""رأس الدرك""",Sur la route MC 27 vers le Nord,على الطريق MC 27  في اتجاه الشمال,De l'époque punique à l'époque coloniale,من الفترة البونية الى الفترة الاستعمارية ,11.007767,37.043962
"Arbre dOlive Sacrée ""ECHRAF""","الشرف ""الزيتونة المعمرة""",Á 3 Km  de la ville d'El Hawaria,على بعد 3كلم من مدينة الهوارية ,3000 ans av.J.-C.,3000سنة قبل الميلاد,11.036915,36.998956
