CATEGORIE_PRESTATAIRE,Median_Salary_TND
APC,9000
CABINET D'ORTHOPHONISTE,7000
CABINET DE CHIRURGIE DENTAIRE,9000
CABINET DE KINESITHERAPIE,7000
CABINET DE RADIOLOGIE,10000
CABINET MEDICAL DE GROUPE,8500
CABINET MEDICAL INDIVIDUEL,8000
CENTRE D'EX借款RESPIRATOIRES,9000
CENTRE D'HEMODIALYSE,10000
CENTRE D'IMAGERIE MEDICALE,10000
CENTRE D'OPTIQUE MEDICALE,7000
CENTRE DE REEDUCATION FONCTIONNELLE,8000
CENTRE DE THERMALISME,6000
CENTRE MEDICO-SOCIAL DES COMMINICATIONS,7000
CENTRE SPECIALISE,9000
CLINIQUE MULTIDISCIPLINAIRE,10000
DIRECTION GENERALE DES PRISONS ET DE LA REEDUCATION,6000
DISPENSAIRE DU CENTRE ISLAMIQUE SALAH ABDALLAH KAMEL,7000
DOUANE,6000
GROSSITE REPARTITEUR,5000
HOPITAL DE JOUR,8000
HOPITAL GENERAL,7000
HOPITAL SPECIALISE,9000
LA CHAMBRE DES DEPUTES,8000
LABORATOIRE D'ANALYSES,6000
MINISTERE DE L'INTERIEUR,7000
OFFICINE DE JOUR,6000
OFFICINE DE NUIT,6500
Office de la Marine Marchande et des Ports,7000
PHARMACIE CENTRALE,6000
PHARMACIE D'HOPITAL,6000
SIPHAT,8000
SNCFT,7000
STAM,8000
STEG,7000
TAV,7000
TRANSTU,7000
VENTE APPAREILLAGE ET ACCESSOIRES MEDICAUX,5000
